Date,Portfolio_Value
2021-04-20,14106.353694362517
2021-04-21,14120.75639884262
2021-04-22,14020.837465202198
2021-04-23,14073.155571377956
2021-04-26,13999.935183258222
2021-04-27,13985.523047111561
2021-04-28,13949.903881731254
2021-04-29,14065.082316944428
2021-04-30,13940.326016347144
2021-05-03,14034.116094645356
2021-05-04,13911.36561936839
2021-05-05,13866.630143715838
2021-05-06,13930.328806455691
2021-05-07,14038.038446056358
2021-05-10,13977.608533429815
2021-05-11,13835.70504288838
2021-05-12,13556.551792598239
2021-05-13,13779.365609151175
2021-05-14,13956.941690617205
2021-05-17,13851.450116638443
2021-05-18,13808.309911826549
2021-05-19,13791.645619611476
2021-05-20,13997.96491908814
2021-05-21,13949.998959765526
2021-05-24,14021.717760539097
2021-05-25,13984.62251733873
2021-05-26,13957.719953637223
2021-05-27,13956.818232907895
2021-05-28,13981.637303870712
2021-06-01,13896.668229736126
2021-06-02,13974.951702957072
2021-06-03,13896.860917296282
2021-06-04,13983.614785217569
2021-06-07,13984.2769075386
2021-06-08,13971.87910613448
2021-06-09,14000.92483452779
2021-06-10,14034.402875665148
2021-06-11,14070.72769577139
2021-06-14,14168.267580706133
2021-06-15,14178.913519724947
2021-06-16,14114.071399909173
2021-06-17,14211.98950254353
2021-06-18,14014.15817385918
2021-06-21,14157.75712871342
2021-06-22,14189.563624608634
2021-06-23,14046.437198929052
2021-06-24,14051.438517281853
2021-06-25,14140.907654321105
2021-06-28,14174.886327683673
2021-06-29,14142.555557460044
2021-06-30,14117.759809647363
2021-07-01,14179.049534502015
2021-07-02,14314.311832524047
2021-07-06,14303.765303886117
2021-07-07,14445.728506311361
2021-07-08,14297.379947638487
2021-07-09,14470.648435598052
2021-07-12,14447.236866076722
2021-07-13,14441.85423103865
2021-07-14,14564.82099477967
2021-07-15,14533.988107359557
2021-07-16,14477.765714955725
2021-07-19,14231.847863144507
2021-07-20,14437.164666276683
2021-07-21,14467.345759806514
2021-07-22,14506.171049567114
2021-07-23,14673.286839340697
2021-07-26,14616.329563358338
2021-07-27,14644.401761232804
2021-07-28,14639.813753208655
2021-07-29,14658.654618644327
2021-07-30,14609.8894175896
2021-08-02,14642.511454765796
2021-08-03,14812.078638034056
2021-08-04,14730.306906999096
2021-08-05,14757.910793993928
2021-08-06,14730.73840983182
2021-08-09,14733.303883375642
2021-08-10,14741.55483766716
2021-08-11,14839.943153940034
2021-08-12,14950.874396229672
2021-08-13,14981.825107070166
2021-08-16,15022.931555363315
2021-08-17,14995.37873688976
2021-08-18,14694.375270511357
2021-08-19,14533.77059920881
2021-08-20,14697.205876375114
2021-08-23,14739.187529320452
2021-08-24,14643.64199205584
2021-08-25,14610.147691001606
2021-08-26,14565.286334392553
2021-08-27,14587.070692464844
2021-08-30,14716.450057764612
2021-08-31,14708.754219600185
2021-09-01,14860.346305708304
2021-09-02,14948.006182658672
2021-09-03,14877.51186359616
2021-09-07,14854.127259750152
2021-09-08,14871.334471285129
2021-09-09,14778.781198785045
2021-09-10,14617.575498517426
2021-09-13,14588.421966408858
2021-09-14,14471.417241100833
2021-09-15,14426.810068254877
2021-09-16,14377.378805759245
2021-09-17,14200.869692507127
2021-09-20,14067.819456580157
2021-09-21,14157.856800627702
2021-09-22,14267.727864721905
2021-09-23,14355.056895032536
2021-09-24,14337.880660016517
2021-09-27,14211.373792953023
2021-09-28,13980.171192223046
2021-09-29,14049.775536549705
2021-09-30,13915.020021445995
2021-10-01,14046.143691822617
2021-10-04,13883.326350054544
2021-10-05,13997.71895129674
2021-10-06,14066.835495752892
2021-10-07,14159.781883141372
2021-10-08,14105.439843608572
2021-10-11,14035.171763752214
2021-10-12,14039.421304470094
2021-10-13,14229.71340124556
2021-10-14,14398.385630706
2021-10-15,14476.522556025111
2021-10-18,14392.535507468367
2021-10-19,14569.696699925971
2021-10-20,14700.469837232047
2021-10-21,14739.672115566427
2021-10-22,14791.880671764166
2021-10-25,14758.300560344742
2021-10-26,14498.81149009317
2021-10-27,14439.878474256222
2021-10-28,14587.545588420851
2021-10-29,14528.546834619405
2021-11-01,14543.57761130068
2021-11-02,14562.28611540229
2021-11-03,14628.041075409954
2021-11-04,14651.655501877935
2021-11-05,14777.251603855988
2021-11-08,14729.816426562444
2021-11-09,14705.345171923087
2021-11-10,14605.291014337485
2021-11-11,14615.15010656613
2021-11-12,14815.947648069623
2021-11-15,14816.801295640496
2021-11-16,14818.8004293356
2021-11-17,14922.13212932766
2021-11-18,15006.877788396434
2021-11-19,15071.855046574114
2021-11-22,15001.155273046577
2021-11-23,15009.938486967128
2021-11-24,15017.310930612268
2021-11-26,14725.908156790403
2021-11-29,14918.197064548913
2021-11-30,14807.61846433243
